Interactor A,Interactor B,Protein Name A,Protein Name B
TP53,RAB23,Cellular tumor antigen p53,Ras-related protein Rab-23
TP53,RAB7A,Cellular tumor antigen p53,Ras-related protein Rab-7a
TP53,ULK1,Cellular tumor antigen p53,Serine/threonine-protein kinase ULK1
TP53,RAB2A,Cellular tumor antigen p53,Ras-related protein Rab-2A
TP53,UVRAG,Cellular tumor antigen p53,UV radiation resistance-associated gene protein
TP53,LAMP2,Cellular tumor antigen p53,Lysosome-associated membrane glycoprotein 2
TP53,SH3GLB1,Cellular tumor antigen p53,Endophilin-B1
TP53,GABARAPL1,Cellular tumor antigen p53,Gamma-aminobutyric acid receptor-associated protein-like 1
TP53,GABARAPL2,Cellular tumor antigen p53,Gamma-aminobutyric acid receptor-associated protein-like 2
TP53,ATG12,Cellular tumor antigen p53,Ubiquitin-like protein ATG12
TP53,GABARAP,Cellular tumor antigen p53,Gamma-aminobutyric acid receptor-associated protein
TP53,ATG14,Cellular tumor antigen p53,Beclin 1-associated autophagy-related key regulator
TP53,UBQLN1,Cellular tumor antigen p53,Ubiquilin-1
TP53,PIK3R4,Cellular tumor antigen p53,Phosphoinositide 3-kinase regulatory subunit 4
TP53,TP53INP1,Cellular tumor antigen p53,Tumor protein p53-inducible nuclear protein 1
TP53,SRPX,Cellular tumor antigen p53,Sushi repeat-containing protein SRPX
TP53,CHMP1A,Cellular tumor antigen p53,Charged multivesicular body protein 1a
TP53,VMP1,Cellular tumor antigen p53,Vacuole membrane protein 1
TP53,WDR81,Cellular tumor antigen p53,WD repeat-containing protein 81
TP53,CHMP4C,Cellular tumor antigen p53,Charged multivesicular body protein 4c
TP53,ATG13,Cellular tumor antigen p53,Autophagy-related protein 13
TP53,CHMP4B,Cellular tumor antigen p53,Charged multivesicular body protein 4b
TP53,PIP4K2A,Cellular tumor antigen p53,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
TP53,IRGM,Cellular tumor antigen p53,Immunity-related GTPase family M protein
TP53,CHMP5,Cellular tumor antigen p53,Charged multivesicular body protein 5
TP53,CHMP1B,Cellular tumor antigen p53,Charged multivesicular body protein 1b
TP53,TBC1D17,Cellular tumor antigen p53,TBC1 domain family member 17
TP53,TBC1D14,Cellular tumor antigen p53,TBC1 domain family member 14
TP53,CHMP2B,Cellular tumor antigen p53,Charged multivesicular body protein 2b
TP53,UBQLN4,Cellular tumor antigen p53,Ubiquilin-4
TP53,CHMP2A,Cellular tumor antigen p53,Charged multivesicular body protein 2a
TP53,ULK3,Cellular tumor antigen p53,Serine/threonine-protein kinase ULK3
TP53,CHMP6,Cellular tumor antigen p53,Charged multivesicular body protein 6
TP53,VPS33A,Cellular tumor antigen p53,Vacuolar protein sorting-associated protein 33A
TP53,ATG9B,Cellular tumor antigen p53,Autophagy-related protein 9B
TP53,TP53INP2,Cellular tumor antigen p53,Tumor protein p53-inducible nuclear protein 2
TP53,HAP1,Cellular tumor antigen p53,Huntingtin-associated protein 1
TP53,SNAP29,Cellular tumor antigen p53,Synaptosomal-associated protein 29
TP53,NBR1,Cellular tumor antigen p53,Next to BRCA1 gene 1 protein
TP53,WIPI1,Cellular tumor antigen p53,WD repeat domain phosphoinositide-interacting protein 1
TP53,CLN3,Cellular tumor antigen p53,Battenin
TP53,ZFYVE1,Cellular tumor antigen p53,Zinc finger FYVE domain-containing protein 1
TP53,VPS18,Cellular tumor antigen p53,Vacuolar protein sorting-associated protein 18 homolog
TP53,WDFY3,Cellular tumor antigen p53,WD repeat and FYVE domain-containing protein 3
TP53,TAX1BP1,Cellular tumor antigen p53,Tax1-binding protein 1
TP53,VPS16,Cellular tumor antigen p53,Vacuolar protein sorting-associated protein 16 homolog
TP53,TM9SF1,Cellular tumor antigen p53,Transmembrane 9 superfamily member 1
TP53,C9orf72,Cellular tumor antigen p53,Guanine nucleotide exchange factor C9orf72
TP53,VPS11,Cellular tumor antigen p53,Vacuolar protein sorting-associated protein 11 homolog
TP53,TMEM74,Cellular tumor antigen p53,Transmembrane protein 74
TP53,RUBCNL,Cellular tumor antigen p53,Protein associated with UVRAG as autophagy enhancer
TP53,TMEM150B,Cellular tumor antigen p53,Modulator of macroautophagy TMEM150B
TP53,RAB12,Cellular tumor antigen p53,Ras-related protein Rab-12
TP53,NRBF2,Cellular tumor antigen p53,Nuclear receptor-binding factor 2
TP53,GRAMD1A,Cellular tumor antigen p53,Protein Aster-A
TP53,GABARAPL3,Cellular tumor antigen p53,Gamma-aminobutyric acid receptor-associated protein-like 3
TP53,RAB3GAP2,Cellular tumor antigen p53,Rab3 GTPase-activating protein non-catalytic subunit
TP53,TEX264,Cellular tumor antigen p53,Testis-expressed protein 264
VCP,BECN1,Transitional endoplasmic reticulum ATPase,Beclin-1
VCP,SQSTM1,Transitional endoplasmic reticulum ATPase,Sequestosome-1
VCP,ATG5,Transitional endoplasmic reticulum ATPase,Autophagy protein 5
VCP,PIK3C3,Transitional endoplasmic reticulum ATPase,Phosphatidylinositol 3-kinase catalytic subunit type 3
VCP,TRIM32,Transitional endoplasmic reticulum ATPase,E3 ubiquitin-protein ligase TRIM32
VCP,ATG16L1,Transitional endoplasmic reticulum ATPase,Autophagy-related protein 16-1
VCP,HTT,Transitional endoplasmic reticulum ATPase,Huntingtin
VCP,ATG9A,Transitional endoplasmic reticulum ATPase,Autophagy-related protein 9A
VCP,UBQLN2,Transitional endoplasmic reticulum ATPase,Ubiquilin-2
VCP,OPTN,Transitional endoplasmic reticulum ATPase,Optineurin
VCP,CALCOCO2,Transitional endoplasmic reticulum ATPase,Calcium-binding and coiled-coil domain-containing protein 2
VCP,STX17,Transitional endoplasmic reticulum ATPase,Syntaxin-17
VCP,STING1,Transitional endoplasmic reticulum ATPase,Stimulator of interferon genes protein
VCP,RB1CC1,Transitional endoplasmic reticulum ATPase,RB1-inducible coiled-coil protein 1
VCP,MAP1LC3A,Transitional endoplasmic reticulum ATPase,Microtubule-associated protein 1 light chain 3 alpha
VCP,MAP1LC3B,Transitional endoplasmic reticulum ATPase,Microtubule-associated protein 1 light chain 3 beta
VCP,RAB23,Transitional endoplasmic reticulum ATPase,Ras-related protein Rab-23
VCP,RAB7A,Transitional endoplasmic reticulum ATPase,Ras-related protein Rab-7a
VCP,ULK1,Transitional endoplasmic reticulum ATPase,Serine/threonine-protein kinase ULK1
VCP,UVRAG,Transitional endoplasmic reticulum ATPase,UV radiation resistance-associated gene protein
VCP,LAMP2,Transitional endoplasmic reticulum ATPase,Lysosome-associated membrane glycoprotein 2
VCP,SH3GLB1,Transitional endoplasmic reticulum ATPase,Endophilin-B1
VCP,GABARAPL1,Transitional endoplasmic reticulum ATPase,Gamma-aminobutyric acid receptor-associated protein-like 1
VCP,GABARAP,Transitional endoplasmic reticulum ATPase,Gamma-aminobutyric acid receptor-associated protein
VCP,ATG14,Transitional endoplasmic reticulum ATPase,Beclin 1-associated autophagy-related key regulator
VCP,UBQLN1,Transitional endoplasmic reticulum ATPase,Ubiquilin-1
VCP,TP53INP1,Transitional endoplasmic reticulum ATPase,Tumor protein p53-inducible nuclear protein 1
VCP,VMP1,Transitional endoplasmic reticulum ATPase,Vacuole membrane protein 1
VCP,ATG13,Transitional endoplasmic reticulum ATPase,Autophagy-related protein 13
VCP,CHMP4B,Transitional endoplasmic reticulum ATPase,Charged multivesicular body protein 4b
VCP,ATP13A2,Transitional endoplasmic reticulum ATPase,Polyamine-transporting ATPase 13A2
VCP,IRGM,Transitional endoplasmic reticulum ATPase,Immunity-related GTPase family M protein
VCP,TBC1D17,Transitional endoplasmic reticulum ATPase,TBC1 domain family member 17
VCP,CHMP2B,Transitional endoplasmic reticulum ATPase,Charged multivesicular body protein 2b
VCP,UBQLN4,Transitional endoplasmic reticulum ATPase,Ubiquilin-4
VCP,HAP1,Transitional endoplasmic reticulum ATPase,Huntingtin-associated protein 1
VCP,WIPI1,Transitional endoplasmic reticulum ATPase,WD repeat domain phosphoinositide-interacting protein 1
VCP,CLN3,Transitional endoplasmic reticulum ATPase,Battenin
VCP,VPS18,Transitional endoplasmic reticulum ATPase,Vacuolar protein sorting-associated protein 18 homolog
VCP,WDFY3,Transitional endoplasmic reticulum ATPase,WD repeat and FYVE domain-containing protein 3
VCP,C9orf72,Transitional endoplasmic reticulum ATPase,Guanine nucleotide exchange factor C9orf72
VCP,TMEM74,Transitional endoplasmic reticulum ATPase,Transmembrane protein 74
VCP,AUP1,Transitional endoplasmic reticulum ATPase,Lipid droplet-regulating VLDL assembly factor AUP1
VCP,TMEM150B,Transitional endoplasmic reticulum ATPase,Modulator of macroautophagy TMEM150B
VCP,RAB3GAP2,Transitional endoplasmic reticulum ATPase,Rab3 GTPase-activating protein non-catalytic subunit
VCP,TEX264,Transitional endoplasmic reticulum ATPase,Testis-expressed protein 264
BECN1,ATG16L1,Beclin-1,Autophagy-related protein 16-1
BECN1,BECN1,Beclin-1,Beclin-1
BECN1,HTT,Beclin-1,Huntingtin
BECN1,ATG9A,Beclin-1,Autophagy-related protein 9A
BECN1,PIK3C3,Beclin-1,Phosphatidylinositol 3-kinase catalytic subunit type 3
BECN1,ATG4B,Beclin-1,Cysteine protease ATG4B
BECN1,SQSTM1,Beclin-1,Sequestosome-1
BECN1,AMBRA1,Beclin-1,Activating molecule in BECN1-regulated autophagy protein 1
BECN1,ULK2,Beclin-1,Serine/threonine-protein kinase ULK2
BECN1,MAP1LC3C,Beclin-1,Microtubule-associated protein 1 light chain 3 gamma
BECN1,UBQLN2,Beclin-1,Ubiquilin-2
BECN1,OPTN,Beclin-1,Optineurin
BECN1,CHMP3,Beclin-1,Charged multivesicular body protein 3
BECN1,CALCOCO2,Beclin-1,Calcium-binding and coiled-coil domain-containing protein 2
BECN1,STX17,Beclin-1,Syntaxin-17
BECN1,STING1,Beclin-1,Stimulator of interferon genes protein
BECN1,RB1CC1,Beclin-1,RB1-inducible coiled-coil protein 1
BECN1,ATG5,Beclin-1,Autophagy protein 5
BECN1,TRIM32,Beclin-1,E3 ubiquitin-protein ligase TRIM32
BECN1,MAP1LC3A,Beclin-1,Microtubule-associated protein 1 light chain 3 alpha
BECN1,MAP1LC3B,Beclin-1,Microtubule-associated protein 1 light chain 3 beta
BECN1,RAB23,Beclin-1,Ras-related protein Rab-23
BECN1,RAB7A,Beclin-1,Ras-related protein Rab-7a
BECN1,ULK1,Beclin-1,Serine/threonine-protein kinase ULK1
BECN1,RAB2A,Beclin-1,Ras-related protein Rab-2A
BECN1,UVRAG,Beclin-1,UV radiation resistance-associated gene protein
BECN1,LAMP2,Beclin-1,Lysosome-associated membrane glycoprotein 2
BECN1,SH3GLB1,Beclin-1,Endophilin-B1
BECN1,GABARAPL1,Beclin-1,Gamma-aminobutyric acid receptor-associated protein-like 1
BECN1,GABARAPL2,Beclin-1,Gamma-aminobutyric acid receptor-associated protein-like 2
BECN1,ATG12,Beclin-1,Ubiquitin-like protein ATG12
BECN1,RAB2B,Beclin-1,Ras-related protein Rab-2B
BECN1,GABARAP,Beclin-1,Gamma-aminobutyric acid receptor-associated protein
BECN1,ATG14,Beclin-1,Beclin 1-associated autophagy-related key regulator
BECN1,UBQLN1,Beclin-1,Ubiquilin-1
BECN1,PIK3R4,Beclin-1,Phosphoinositide 3-kinase regulatory subunit 4
BECN1,TP53INP1,Beclin-1,Tumor protein p53-inducible nuclear protein 1
BECN1,CHMP1A,Beclin-1,Charged multivesicular body protein 1a
BECN1,VMP1,Beclin-1,Vacuole membrane protein 1
BECN1,WDR81,Beclin-1,WD repeat-containing protein 81
BECN1,CHMP4C,Beclin-1,Charged multivesicular body protein 4c
BECN1,ATG13,Beclin-1,Autophagy-related protein 13
BECN1,CHMP4B,Beclin-1,Charged multivesicular body protein 4b
BECN1,PIP4K2A,Beclin-1,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
BECN1,IRGM,Beclin-1,Immunity-related GTPase family M protein
BECN1,CHMP5,Beclin-1,Charged multivesicular body protein 5
BECN1,CHMP1B,Beclin-1,Charged multivesicular body protein 1b
BECN1,TBC1D17,Beclin-1,TBC1 domain family member 17
BECN1,TBC1D14,Beclin-1,TBC1 domain family member 14
BECN1,CHMP2B,Beclin-1,Charged multivesicular body protein 2b
BECN1,UBQLN4,Beclin-1,Ubiquilin-4
BECN1,CHMP2A,Beclin-1,Charged multivesicular body protein 2a
BECN1,ULK3,Beclin-1,Serine/threonine-protein kinase ULK3
BECN1,CHMP6,Beclin-1,Charged multivesicular body protein 6
BECN1,VPS33A,Beclin-1,Vacuolar protein sorting-associated protein 33A
BECN1,CHMP4A,Beclin-1,Charged multivesicular body protein 4a
BECN1,ATG9B,Beclin-1,Autophagy-related protein 9B
BECN1,CHMP7,Beclin-1,Charged multivesicular body protein 7
BECN1,HAP1,Beclin-1,Huntingtin-associated protein 1
BECN1,NBR1,Beclin-1,Next to BRCA1 gene 1 protein
BECN1,WIPI1,Beclin-1,WD repeat domain phosphoinositide-interacting protein 1
BECN1,CLN3,Beclin-1,Battenin
BECN1,ZFYVE1,Beclin-1,Zinc finger FYVE domain-containing protein 1
BECN1,VPS18,Beclin-1,Vacuolar protein sorting-associated protein 18 homolog
BECN1,TAX1BP1,Beclin-1,Tax1-binding protein 1
BECN1,VPS16,Beclin-1,Vacuolar protein sorting-associated protein 16 homolog
BECN1,TM9SF1,Beclin-1,Transmembrane 9 superfamily member 1
BECN1,C9orf72,Beclin-1,Guanine nucleotide exchange factor C9orf72
BECN1,TMEM74,Beclin-1,Transmembrane protein 74
BECN1,RUBCNL,Beclin-1,Protein associated with UVRAG as autophagy enhancer
BECN1,AUP1,Beclin-1,Lipid droplet-regulating VLDL assembly factor AUP1
BECN1,RAB12,Beclin-1,Ras-related protein Rab-12
BECN1,NRBF2,Beclin-1,Nuclear receptor-binding factor 2
TOLLIP,BECN1,Toll-interacting protein,Beclin-1
TOLLIP,SQSTM1,Toll-interacting protein,Sequestosome-1
TOLLIP,TRIM32,Toll-interacting protein,E3 ubiquitin-protein ligase TRIM32
TOLLIP,MAP1LC3A,Toll-interacting protein,Microtubule-associated protein 1 light chain 3 alpha
TOLLIP,MAP1LC3B,Toll-interacting protein,Microtubule-associated protein 1 light chain 3 beta
TOLLIP,RAB7A,Toll-interacting protein,Ras-related protein Rab-7a
TOLLIP,ULK1,Toll-interacting protein,Serine/threonine-protein kinase ULK1
TOLLIP,ATG16L1,Toll-interacting protein,Autophagy-related protein 16-1
TOLLIP,LAMP2,Toll-interacting protein,Lysosome-associated membrane glycoprotein 2
TOLLIP,RB1CC1,Toll-interacting protein,RB1-inducible coiled-coil protein 1
TOLLIP,SH3GLB1,Toll-interacting protein,Endophilin-B1
TOLLIP,GABARAPL1,Toll-interacting protein,Gamma-aminobutyric acid receptor-associated protein-like 1
TOLLIP,GABARAPL2,Toll-interacting protein,Gamma-aminobutyric acid receptor-associated protein-like 2
TOLLIP,GABARAP,Toll-interacting protein,Gamma-aminobutyric acid receptor-associated protein
TOLLIP,ATG14,Toll-interacting protein,Beclin 1-associated autophagy-related key regulator
TOLLIP,UBQLN1,Toll-interacting protein,Ubiquilin-1
TOLLIP,OPTN,Toll-interacting protein,Optineurin
TOLLIP,TP53INP1,Toll-interacting protein,Tumor protein p53-inducible nuclear protein 1
TOLLIP,VMP1,Toll-interacting protein,Vacuole membrane protein 1
TOLLIP,MAP1LC3C,Toll-interacting protein,Microtubule-associated protein 1 light chain 3 gamma
TOLLIP,ATG13,Toll-interacting protein,Autophagy-related protein 13
TOLLIP,ATG9A,Toll-interacting protein,Autophagy-related protein 9A
TOLLIP,UBQLN2,Toll-interacting protein,Ubiquilin-2
TOLLIP,IRGM,Toll-interacting protein,Immunity-related GTPase family M protein
TOLLIP,CHMP5,Toll-interacting protein,Charged multivesicular body protein 5
TOLLIP,TBC1D5,Toll-interacting protein,TBC1 domain family member 5
TOLLIP,CHMP3,Toll-interacting protein,Charged multivesicular body protein 3
TOLLIP,TBC1D17,Toll-interacting protein,TBC1 domain family member 17
TOLLIP,STX17,Toll-interacting protein,Syntaxin-17
TOLLIP,TBC1D25,Toll-interacting protein,TBC1 domain family member 25
TOLLIP,UBQLN4,Toll-interacting protein,Ubiquilin-4
TOLLIP,CHMP2A,Toll-interacting protein,Charged multivesicular body protein 2a
TOLLIP,ATG4B,Toll-interacting protein,Cysteine protease ATG4B
TOLLIP,CHMP6,Toll-interacting protein,Charged multivesicular body protein 6
TOLLIP,TP53INP2,Toll-interacting protein,Tumor protein p53-inducible nuclear protein 2
TOLLIP,HTT,Toll-interacting protein,Huntingtin
TOLLIP,CALCOCO2,Toll-interacting protein,Calcium-binding and coiled-coil domain-containing protein 2
TOLLIP,NBR1,Toll-interacting protein,Next to BRCA1 gene 1 protein
TOLLIP,VPS18,Toll-interacting protein,Vacuolar protein sorting-associated protein 18 homolog
TOLLIP,WDFY3,Toll-interacting protein,WD repeat and FYVE domain-containing protein 3
TOLLIP,TAX1BP1,Toll-interacting protein,Tax1-binding protein 1
TOLLIP,GABARAPL3,Toll-interacting protein,Gamma-aminobutyric acid receptor-associated protein-like 3
INHBA,BECN1,Inhibin beta A chain,Beclin-1
INHBA,SQSTM1,Inhibin beta A chain,Sequestosome-1
INHBA,ATG16L1,Inhibin beta A chain,Autophagy-related protein 16-1
INHBA,HTT,Inhibin beta A chain,Huntingtin
INHBA,ATG9A,Inhibin beta A chain,Autophagy-related protein 9A
INHBA,PIK3C3,Inhibin beta A chain,Phosphatidylinositol 3-kinase catalytic subunit type 3
INHBA,AMBRA1,Inhibin beta A chain,Activating molecule in BECN1-regulated autophagy protein 1
INHBA,OPTN,Inhibin beta A chain,Optineurin
INHBA,RB1CC1,Inhibin beta A chain,RB1-inducible coiled-coil protein 1
INHBA,MAP1LC3A,Inhibin beta A chain,Microtubule-associated protein 1 light chain 3 alpha
INHBA,MAP1LC3B,Inhibin beta A chain,Microtubule-associated protein 1 light chain 3 beta
INHBA,RAB2A,Inhibin beta A chain,Ras-related protein Rab-2A
INHBA,SH3GLB1,Inhibin beta A chain,Endophilin-B1
INHBA,TP53INP1,Inhibin beta A chain,Tumor protein p53-inducible nuclear protein 1
INHBA,CHMP4C,Inhibin beta A chain,Charged multivesicular body protein 4c
INHBA,CHMP2B,Inhibin beta A chain,Charged multivesicular body protein 2b
INHBA,NBR1,Inhibin beta A chain,Next to BRCA1 gene 1 protein
INHBA,WIPI1,Inhibin beta A chain,WD repeat domain phosphoinositide-interacting protein 1
INHBA,C9orf72,Inhibin beta A chain,Guanine nucleotide exchange factor C9orf72
INHBA,TMEM150B,Inhibin beta A chain,Modulator of macroautophagy TMEM150B
ARSB,SQSTM1,Arylsulfatase B,Sequestosome-1
ARSB,MAP1LC3B,Arylsulfatase B,Microtubule-associated protein 1 light chain 3 beta
ARSB,ATG16L1,Arylsulfatase B,Autophagy-related protein 16-1
ARSB,HTT,Arylsulfatase B,Huntingtin
MAPK3,ATG16L1,Mitogen-activated protein kinase 3,Autophagy-related protein 16-1
MAPK3,BECN1,Mitogen-activated protein kinase 3,Beclin-1
MAPK3,HTT,Mitogen-activated protein kinase 3,Huntingtin
MAPK3,ATG9A,Mitogen-activated protein kinase 3,Autophagy-related protein 9A
MAPK3,PIK3C3,Mitogen-activated protein kinase 3,Phosphatidylinositol 3-kinase catalytic subunit type 3
MAPK3,ATG4B,Mitogen-activated protein kinase 3,Cysteine protease ATG4B
MAPK3,SQSTM1,Mitogen-activated protein kinase 3,Sequestosome-1
MAPK3,AMBRA1,Mitogen-activated protein kinase 3,Activating molecule in BECN1-regulated autophagy protein 1
MAPK3,ULK2,Mitogen-activated protein kinase 3,Serine/threonine-protein kinase ULK2
MAPK3,MAP1LC3C,Mitogen-activated protein kinase 3,Microtubule-associated protein 1 light chain 3 gamma
MAPK3,UBQLN2,Mitogen-activated protein kinase 3,Ubiquilin-2
MAPK3,OPTN,Mitogen-activated protein kinase 3,Optineurin
MAPK3,CHMP3,Mitogen-activated protein kinase 3,Charged multivesicular body protein 3
MAPK3,PIP4K2B,Mitogen-activated protein kinase 3,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta
MAPK3,CALCOCO2,Mitogen-activated protein kinase 3,Calcium-binding and coiled-coil domain-containing protein 2
MAPK3,STX17,Mitogen-activated protein kinase 3,Syntaxin-17
MAPK3,STING1,Mitogen-activated protein kinase 3,Stimulator of interferon genes protein
MAPK3,RB1CC1,Mitogen-activated protein kinase 3,RB1-inducible coiled-coil protein 1
MAPK3,ATG5,Mitogen-activated protein kinase 3,Autophagy protein 5
MAPK3,TRIM32,Mitogen-activated protein kinase 3,E3 ubiquitin-protein ligase TRIM32
MAPK3,MAP1LC3A,Mitogen-activated protein kinase 3,Microtubule-associated protein 1 light chain 3 alpha
MAPK3,MAP1LC3B,Mitogen-activated protein kinase 3,Microtubule-associated protein 1 light chain 3 beta
MAPK3,RAB23,Mitogen-activated protein kinase 3,Ras-related protein Rab-23
MAPK3,RAB7A,Mitogen-activated protein kinase 3,Ras-related protein Rab-7a
MAPK3,ULK1,Mitogen-activated protein kinase 3,Serine/threonine-protein kinase ULK1
MAPK3,RAB2A,Mitogen-activated protein kinase 3,Ras-related protein Rab-2A
MAPK3,UVRAG,Mitogen-activated protein kinase 3,UV radiation resistance-associated gene protein
MAPK3,LAMP2,Mitogen-activated protein kinase 3,Lysosome-associated membrane glycoprotein 2
MAPK3,SH3GLB1,Mitogen-activated protein kinase 3,Endophilin-B1
MAPK3,GABARAPL1,Mitogen-activated protein kinase 3,Gamma-aminobutyric acid receptor-associated protein-like 1
MAPK3,LRRK2,Mitogen-activated protein kinase 3,Leucine-rich repeat serine/threonine-protein kinase 2
MAPK3,GABARAPL2,Mitogen-activated protein kinase 3,Gamma-aminobutyric acid receptor-associated protein-like 2
MAPK3,ATG12,Mitogen-activated protein kinase 3,Ubiquitin-like protein ATG12
MAPK3,RAB24,Mitogen-activated protein kinase 3,Ras-related protein Rab-24
MAPK3,GABARAP,Mitogen-activated protein kinase 3,Gamma-aminobutyric acid receptor-associated protein
MAPK3,ATG14,Mitogen-activated protein kinase 3,Beclin 1-associated autophagy-related key regulator
MAPK3,UBQLN1,Mitogen-activated protein kinase 3,Ubiquilin-1
MAPK3,PIK3R4,Mitogen-activated protein kinase 3,Phosphoinositide 3-kinase regulatory subunit 4
MAPK3,TP53INP1,Mitogen-activated protein kinase 3,Tumor protein p53-inducible nuclear protein 1
MAPK3,CHMP1A,Mitogen-activated protein kinase 3,Charged multivesicular body protein 1a
MAPK3,VMP1,Mitogen-activated protein kinase 3,Vacuole membrane protein 1
MAPK3,ATG13,Mitogen-activated protein kinase 3,Autophagy-related protein 13
MAPK3,PIP4K2A,Mitogen-activated protein kinase 3,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
MAPK3,IRGM,Mitogen-activated protein kinase 3,Immunity-related GTPase family M protein
MAPK3,CHMP5,Mitogen-activated protein kinase 3,Charged multivesicular body protein 5
MAPK3,TBC1D5,Mitogen-activated protein kinase 3,TBC1 domain family member 5
MAPK3,UBQLN4,Mitogen-activated protein kinase 3,Ubiquilin-4
MAPK3,CHMP6,Mitogen-activated protein kinase 3,Charged multivesicular body protein 6
MAPK3,VPS33A,Mitogen-activated protein kinase 3,Vacuolar protein sorting-associated protein 33A
MAPK3,ATG9B,Mitogen-activated protein kinase 3,Autophagy-related protein 9B
MAPK3,TP53INP2,Mitogen-activated protein kinase 3,Tumor protein p53-inducible nuclear protein 2
MAPK3,WIPI1,Mitogen-activated protein kinase 3,WD repeat domain phosphoinositide-interacting protein 1
MAPK3,ZFYVE1,Mitogen-activated protein kinase 3,Zinc finger FYVE domain-containing protein 1
MAPK3,VPS18,Mitogen-activated protein kinase 3,Vacuolar protein sorting-associated protein 18 homolog
MAPK3,VPS16,Mitogen-activated protein kinase 3,Vacuolar protein sorting-associated protein 16 homolog
MAPK3,TM9SF1,Mitogen-activated protein kinase 3,Transmembrane 9 superfamily member 1
MAPK3,C9orf72,Mitogen-activated protein kinase 3,Guanine nucleotide exchange factor C9orf72
MAPK3,TMEM74,Mitogen-activated protein kinase 3,Transmembrane protein 74
MAPK3,TMEM150B,Mitogen-activated protein kinase 3,Modulator of macroautophagy TMEM150B
MAPK3,RAB12,Mitogen-activated protein kinase 3,Ras-related protein Rab-12
MAPK3,NRBF2,Mitogen-activated protein kinase 3,Nuclear receptor-binding factor 2
MAPK3,GRAMD1A,Mitogen-activated protein kinase 3,Protein Aster-A
S100A9,BECN1,Protein S100-A9,Beclin-1
S100A9,SQSTM1,Protein S100-A9,Sequestosome-1
S100A9,ATG16L1,Protein S100-A9,Autophagy-related protein 16-1
S100A9,PIK3C3,Protein S100-A9,Phosphatidylinositol 3-kinase catalytic subunit type 3
S100A9,OPTN,Protein S100-A9,Optineurin
S100A9,STING1,Protein S100-A9,Stimulator of interferon genes protein
S100A9,RB1CC1,Protein S100-A9,RB1-inducible coiled-coil protein 1
S100A9,ATG5,Protein S100-A9,Autophagy protein 5
S100A9,TRIM32,Protein S100-A9,E3 ubiquitin-protein ligase TRIM32
S100A9,MAP1LC3A,Protein S100-A9,Microtubule-associated protein 1 light chain 3 alpha
