,Uniprot ID
600,P17181
601,Q9NRR4
602,P07199
603,P51617
604,P17480
605,Q96G97
606,Q15642
607,Q86UE8
608,Q01970
609,O60502
610,P09327
611,Q13740
612,Q9UKL0
613,A5YKK6
614,Q92558
615,P18564
616,S6B291
617,Q07866
618,P56696
619,Q16790
620,Q16611
621,Q07812
622,Q9NUM4
623,P07948
624,P16070
625,Q9Y6G9
626,Q8NBP7
627,P43629
628,Q6P5W5
629,Q15109
630,Q9NP70
631,Q969R2
632,P60880
633,Q15717
634,P01266
635,P80192
636,P55042
637,P39905
638,Q16647
639,P28827
640,Q9H900
641,Q96PM5
642,P78362
643,Q9H8Y8
644,P63241
645,P25490
646,Q96H20
647,Q86VN1
648,P35916
649,Q96NW4
650,P20020-1
651,P02533
652,P13647
653,Q9UNA0
654,Q8IUQ4
655,Q96PY5
656,Q8N1G2
657,Q9Y6D6
658,Q3MIT2
659,O75817
660,Q9BUL9
661,Q14194
662,Q15113
663,Q8TEP8
664,O94986
665,O14958
666,P31321
667,Q9UBV7
668,P07237
669,P78330
670,Q9HC35
671,O95278
672,P01023
673,P30542
674,Q96FQ6
675,Q9H5I1
676,P08294
677,Q8N807
678,Q6ZVN8
679,Q9Y5C1
680,P15848
681,P11926
682,P54368
683,O14977
684,Q9HD36
685,O75936
686,P23280
687,P13797
688,P53816
689,Q92608
690,Q6R327
691,Q9BPZ7
692,Q8WUN7
693,Q02363
694,P54687
695,Q6V1X1
696,Q15631
697,Q14995
698,O00411
699,P41214
700,P45379
701,Q9NXV2
702,P04035
703,Q9BQ50
704,Q9H3P2
705,P18615
706,O60880
707,O95071
708,Q53FT3
709,Q13838
710,Q13526
711,P42166
712,Q96EP1
713,Q6P1M3
714,Q5U651
715,Q8IWJ2
716,P20340
717,P07355
718,Q9NWW9
719,P08581
720,P06756
721,Q92574
722,P05231
723,Q14565
724,Q9GZN7
725,P36871
726,Q13617
727,Q9GZU1
728,Q13563
729,Q14181
730,Q13162
731,Q14118
732,P01127
733,Q9UPY3
734,Q9NPI8
735,P49189
736,P16278
737,P22234
738,Q9NV23
739,P20061
740,P23771
741,P05452
742,Q96Q11
743,P61587
744,A6NI73
745,P62330
746,P48740-3
747,Q07157
748,Q8IVH8
749,Q9UKY0
750,Q14019
751,P31153
752,P46379
753,Q13164
754,Q7L2J0
755,Q9Y4F1
756,Q9Y2Z0
757,Q14849
758,P20807
759,O60934
760,O43521
761,O60239
762,Q5FWF5
763,P55197
764,Q9BYF1
765,P11166
766,P83916
767,P18206-2
768,P55211
769,P08670
770,Q9Y5S9
771,Q16630
772,Q8N5H7
773,P55789
774,Q8N884
775,Q09428
776,Q10589
777,Q9BZZ5-2
778,Q96E14
779,Q8NBI3
780,Q8N3V7
781,P04004
782,P48443
783,Q14444
784,P17947
785,P26368
786,P01215
787,Q9Y6I3
788,Q96RD7
789,P08572
790,Q12888
791,P47992
792,Q5JRX3
793,P06734
794,Q05193
795,O75962
796,Q9BSQ5
797,P04275
798,P58004
799,Q53TN4
800,O95843
801,Q5D1E8
802,P51787
803,P40818
804,Q16821
805,Q86XI6
806,P11274
807,P35269
808,Q96GX5
809,Q00653
810,Q9UBU7
811,Q9UIF9
812,Q58F21
813,Q15059
814,P54132
815,P40692
816,Q9BRZ2
817,Q8TEQ6
818,Q92499
819,P53420
820,O60825
821,Q9H3M7
822,P0DJI8
823,Q9BV68
824,O00308
825,P02774
826,Q14258
827,O15344
828,P29590
829,P15374
830,Q9BYI3
831,Q6ZNA4
832,Q86TV6
833,Q6P4R8
834,O95155
835,P30793
836,Q9HC77
837,P11686
838,Q14691
839,Q9BRX5
840,O95835
841,O14965
842,Q7KZI7
843,Q96AE4
844,Q9NPF0
845,P35680
846,Q9BYG3
847,Q16667
848,P49327
849,Q05397
850,P29317
851,Q86Y38
852,P41227
853,Q9BXJ9
854,Q99598
855,Q13363
856,P42574
857,Q658P3
858,P01019
859,P54578
860,Q9UBR1
861,Q8WVQ1
862,O00299
863,O15247
864,Q9Y696
865,P00519
866,P00519-2
867,Q9NQC7
868,Q8NBZ7
869,Q16831
870,Q9NRN7
871,O14727
872,Q99250
873,O95391
874,Q03692
875,Q17RS7
876,P09919
877,O75223
878,P28325
879,P43250
880,P49257
881,P55145
882,Q15013
883,Q9HAV4
884,Q8N1Q8
885,P00749
886,Q96CV9
887,P55210
888,Q16629
889,O95696
890,Q8IYB8
891,Q8IYV9
892,A6ND01
893,Q9BRT9
894,O60508
895,Q9H875
896,Q96EQ8
897,P55265
898,Q92783
899,P33316-2
900,P19957
901,P26447
902,P05451
903,P11940
904,P15498
905,Q7KZF4
906,Q92900-2
907,P49915
908,P50148
909,Q9UDY8
910,Q9BZE9
911,P55072
912,P23588
913,Q68D10
914,Q9UQ35
915,O75475
916,Q9NYV4
917,Q96RJ3
918,Q9UBW5
919,Q8N300
920,P52848
921,P16035
922,P08253
923,P03956
924,P13674
925,O60568
926,P01009
927,P21580
928,Q6GQQ9
929,Q99835
930,Q9Y4K0
931,Q15276
932,Q96PU8
933,P18065
934,Q08188
935,P19827
936,Q2MKA7
937,Q9UK55
938,P00742
939,O43791
940,P02760
941,Q92854
942,P60484
943,P01034
944,P63000
945,P00734
946,P31749
947,P09237
948,Q8IW75
949,P36952
950,Q02297
951,Q9UMD9
952,Q96MS0
953,O60486
954,P00740
955,P10619
956,P00488
957,Q06141
958,Q13316
959,P35052
960,Q9HCB6
961,P36955
962,O00214
963,Q5T1C6
964,P23677
965,P05546
966,Q92743
967,Q15582
968,P27469
969,P53778
970,O15391
971,P04554
972,P20849
973,Q14766
974,P83110
975,P98066
976,Q8WVM7
977,P20592
978,Q9Y237-2
979,Q9Y237-1
980,Q9UBT3
981,O60493
982,P13051-1
983,P60484-2
984,Q9H4L7
985,Q8WXS3-1
986,P56211
987,P56211-2
988,P51397
989,P10997
990,Q96PU8-9
991,P80303
992,P25024
993,P31327
994,P40763
995,Q13153
996,Q9UPP1
997,Q9NR48
998,Q13177
999,P56524
1000,P21675
1001,Q6P1X5
1002,P51513
1003,Q9UBP0
1004,O00189
1005,P27635
1006,Q15542
1007,Q9GZZ9
1008,P43026
1009,P18075
1010,P27361
1011,Q04637-8
1012,P49753
1013,P18827
1014,P34741
1015,O75056
1016,P31431-2
1017,Q9NP98
1018,P49789
1019,Q68J44
1020,O95147
1021,P10636-2
1022,O94829
1023,Q9UKK9
1024,P35813
1025,Q96C86
1026,P47897
1027,P50579
1028,Q9NZD4
1029,Q12962
1030,Q6ZMT4
1031,O15054
1032,O15550
1033,P52732
1034,P07197
1035,Q92784-2
1036,P81605
1037,Q8NC51
1038,Q9Y4D1
1039,Q9UQ80
1040,Q01484
1041,P63104
1042,Q14318
1043,A0A5F9ZHA1
1044,Q9BY41
1045,Q12983
1046,Q4LE39
1047,P56962
1048,Q8TDY2
1049,O95197
1050,P49023
1051,P55285
1052,Q13043
1053,Q13137
1054,O00410
1055,Q6DD88
1056,P30518
1057,Q92847
1058,P07550
1059,P01732
1060,Q8IY63
1061,Q07820
1062,Q9H9R9
1063,Q9HBA0
1064,Q8N660
1065,A0A1B0GTR3
1066,Q13480
1067,P17706-2
1068,O96018
1069,Q8NEB9
1070,Q9BXW4
1071,Q99623
1072,Q9H0E2
1073,O15392
1074,P40939
1075,Q8IYT8
1076,Q13627
1077,Q9UHK0
1078,Q8NER1
1079,Q9Y5S1
1080,Q8NET8
1081,Q8NE35-2
1082,P24588
1083,Q96QZ7
1084,Q92871
1085,A0A090N8E9
1086,P36888
1087,Q96ST2
1088,Q15858
1089,A8K2U0
1090,Q00266
1091,Q9BU02
1092,Q99986
1093,P42658
1094,P26196
1095,Q9UL18
1096,P78563
1097,P55011
1098,P15056
1099,Q00534
1100,Q9Y5P4
1101,Q16740
1102,Q9H9E3
1103,A4D126
1104,P14868
1105,Q6PI48
1106,P49366
1107,O00548
1108,Q92785
1109,P07814
1110,P37268
1111,Q9BYC5
1112,P07902
1113,O94925
1114,Q9NQX3
1115,P00492
1116,P14678
1117,Q99714
1118,P35475
1119,P05019
1120,Q2M1P5
1121,P01116
1122,P36776
1123,P21397
1124,O43318
1125,P28482
1126,O95822
1127,Q8IVH4
1128,Q9Y4U1
1129,Q9H3L0
1130,P22033
1131,O75970
1132,P42898
1133,P42345
1134,Q92913-2
1135,Q9UBK8
1136,O43776
1137,Q15233
1138,O15118
1139,P01111
1140,O96028
1141,P49902
1142,P61956
1143,Q16625
1144,Q01968
1145,O15294
1146,P00439
1147,O75151
1148,Q13635
1149,Q9UII6
1150,Q8TDP1
1151,P84243
1152,Q14011
1153,O15151
1154,Q13586
1155,P78352
1156,P81274
1157,Q7RTN6
1158,Q9NRI5
1159,P29353-2
1160,P19525
1161,Q16620
1162,Q9Y6K1
1163,O15294-3
1164,Q13224
1165,P43034
1166,P33897
1167,O14678
1168,P60709
1169,O96019
1170,Q9Y653
1171,P55263
1172,Q9NX46
1173,P30566
1174,O95831
1175,P47895
1176,P30038
1177,P49419
1178,Q96BT7
1179,Q01433
1180,Q9H1A4
1181,Q9NW15
1182,Q10567
1183,P14867
1184,P28472
1185,P18507
1186,Q86WX3
1187,Q92597
1188,Q9UN86
1189,Q6BDI9
1190,P37837
1191,P41743
1192,Q6ZT98
1193,O15431
1194,Q96NI6
1195,Q9Y4B6
1196,Q9H078
1197,Q96F81
1198,Q9Y6X9
1199,Q9Y2M5
1200,P35790
1201,Q9UQ13
1202,P35790-2
1203,Q9ULK4
1204,Q9UIW2
1205,Q9NXG6
1206,Q9BPU6
1207,P54577
1208,P30531
1209,P35219
1210,P49758
1211,P49802
1212,O00584
1213,Q9H0W8
1214,Q9NRA2
1215,O43747
1216,O95470
1217,P52306-2
1218,Q15326
1219,Q96C36
1220,Q3SYG4
1221,Q8NFJ9
1222,A0A0C4DGY3
1223,Q96RK4
1224,A8MTZ0
1225,Q8N3I7
1226,O43665
1227,Q01105-2
1228,O14775
1229,Q5T848
1230,Q5HYA8
1231,P06702
1232,P42858
1233,Q5TDH0
1234,Q9NZC2
1235,P02649
1236,Q92800
1237,O43561-2
1238,O14497
1239,Q96E09
1240,P21579
1241,P51788
1242,P28749
1243,Q96B97
1244,O00418
1245,Q9BX66
1246,O94885
1247,Q8N6T7
1248,O00499
1249,Q92784-1
1250,Q9BUR4
1251,P05114
1252,O14746
1253,P30519
1254,O60232
1255,Q99453
1256,P49748
1257,P29372
1258,Q9BZV1
1259,Q2KHT3
1260,O95433
1261,Q9H4H8
1262,Q8N5K1
1263,P53355
1264,P45973
1265,P40205
1266,P07196
1267,P02647
1268,Q13613
1269,Q9UJY1
